author_id,text,created_at,public_metrics
1273386066,"RT @KobeissiLetter: JUST IN: Apple, $AAPL, launches savings account with a 4.15% interest rate.

This is the latest of many high yield saviâ€¦",2023-04-18T01:49:21.000Z,"{'retweet_count': 530, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1627159269530570753,RT @Barchart: Apple $AAPL has partnered with Goldman Sachs to offer its credit card holders the option to open a high yield savings accountâ€¦,2023-04-18T01:49:16.000Z,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
59954341,RT @BrandonButch: Apple Savings is now live! $AAPL https://t.co/rahVHER7qf,2023-04-18T01:48:58.000Z,"{'retweet_count': 56, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
16783996,"If $AAPL wants to pay me 4.15% who am I to say no? 

Took 30 seconds to set up after I installed iOS 16.4.1 https://t.co/89PQqXscLe",2023-04-18T01:48:49.000Z,"{'retweet_count': 0, 'reply_count': 4, 'like_count': 12, 'quote_count': 0, 'impression_count': 660}"
782030712,"RT @KobeissiLetter: JUST IN: Apple, $AAPL, launches savings account with a 4.15% interest rate.

This is the latest of many high yield saviâ€¦",2023-04-18T01:48:25.000Z,"{'retweet_count': 530, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
403988459,"RT @SquawkStreet: $AAPL CEO Tim Cook is in India as the company continues to diversify. @SaraEisen, @carlquintanilla and @davidfaber discusâ€¦",2023-04-18T01:48:13.000Z,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
461768237,Four of the top five OLED smartphones are Apple iPhones â€“ DSCC https://t.co/Cjf1kVNivG $AAPL https://t.co/DtP3bGYoer,2023-04-18T01:48:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 49}"
1513185417452994566,RT @Barchart: Apple $AAPL has partnered with Goldman Sachs to offer its credit card holders the option to open a high yield savings accountâ€¦,2023-04-18T01:47:18.000Z,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
18631420,RT @Barchart: Apple $AAPL has partnered with Goldman Sachs to offer its credit card holders the option to open a high yield savings accountâ€¦,2023-04-18T01:46:13.000Z,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
28212513,Apple $AAPL has partnered with Goldman Sachs to offer its credit card holders the option to open a high yield savings account with an APY of 4.15% https://t.co/7iscvyjCqF,2023-04-18T01:46:01.000Z,"{'retweet_count': 8, 'reply_count': 7, 'like_count': 21, 'quote_count': 0, 'impression_count': 3230}"
1615809332997722128,"What Traders Dream Of Doing All Day. ðŸ™Œ

Nothing Is More Satisfying Than Making A Perfect Chart And Executing It Perfectly. 

I Have Spent Hours Today Learning New Styles To Improve My Trading And Hours More To Go.

#Trader #StockMarket  $AAPL https://t.co/oL2TXp8Gms",2023-04-18T01:45:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 35}"
1931086572,"RT @KobeissiLetter: JUST IN: Apple, $AAPL, launches savings account with a 4.15% interest rate.

This is the latest of many high yield saviâ€¦",2023-04-18T01:44:55.000Z,"{'retweet_count': 530, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
15697430,"RT @KobeissiLetter: JUST IN: Apple, $AAPL, launches savings account with a 4.15% interest rate.

This is the latest of many high yield saviâ€¦",2023-04-18T01:43:25.000Z,"{'retweet_count': 530, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1597610838914760704,RT @Jake__Wujastyk: $AAPL #AAPL Ascending triangle on the daily chart w/ the gap above at $171.31. https://t.co/rj7JG7eHPj,2023-04-18T01:42:09.000Z,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1289869429002473473,"RT @CheddarFlow: $AAPL $3.4M Put 
 
Strike: 167.5 
Expiration: 4/28/23 
 
*At the Ask* https://t.co/3zf1qV2EFt",2023-04-18T01:42:00.000Z,"{'retweet_count': 15, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
102880871,"What is a bank, if not a combination of a big balance sheet, a customer database, a team of salespeople plus some regulatory obligations?

$AAPL has the big B/S, is probably MUCH better at customer data analysis, sales people can be hired/trained, all it needs is reg signoffâ€¦ https://t.co/pL6tnqm6gg",2023-04-18T01:41:51.000Z,"{'retweet_count': 1, 'reply_count': 7, 'like_count': 17, 'quote_count': 1, 'impression_count': 3838}"
1289869429002473473,"RT @AyeshaTariq: Apple announces new high-yield Savings account is now available, offering a 4.15 percent APY

$AAPL",2023-04-18T01:41:46.000Z,"{'retweet_count': 16, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
110940386,RT @munster_gene: Rough day for old school banks in their effort to win savings deposits. $AAPL announces Apple Card savings account with 4â€¦,2023-04-18T01:41:42.000Z,"{'retweet_count': 46, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1450222908874399751,RT @WatcherGuru: JUST IN: Apple $AAPL launches high-yield savings account offering 4.15% APY in partnership with Goldman Sachs.,2023-04-18T01:41:13.000Z,"{'retweet_count': 958, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1289869429002473473,"RT @Mr_Derivatives: $AAPL to start offering their own high yield savings accounts at 4.15%.

Thats 415x higher than my current savings accoâ€¦",2023-04-18T01:40:45.000Z,"{'retweet_count': 26, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1289869429002473473,"RT @unusual_whales: Apple's, $AAPL, personal computer shipments fell by 40.5% in the first quarter, per Bloomberg.",2023-04-18T01:40:44.000Z,"{'retweet_count': 90, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1289869429002473473,RT @StockMKTNewz: APPLE CARDâ€™S $AAPL NEW HIGH-YIELD SAVINGS ACCOUNT IS NOW AVAILABLE CURRENTLY OFFERING A 4.15% APY - Reuters,2023-04-18T01:40:40.000Z,"{'retweet_count': 66, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1262984066363797504,RT @Jake__Wujastyk: $AAPL #AAPL Ascending triangle on the daily chart w/ the gap above at $171.31. https://t.co/rj7JG7eHPj,2023-04-18T01:40:39.000Z,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1289869429002473473,RT @BrandonButch: Apple Savings is now live! $AAPL https://t.co/rahVHER7qf,2023-04-18T01:40:36.000Z,"{'retweet_count': 56, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1289869429002473473,"RT @KobeissiLetter: JUST IN: Apple, $AAPL, launches savings account with a 4.15% interest rate.

This is the latest of many high yield saviâ€¦",2023-04-18T01:40:26.000Z,"{'retweet_count': 530, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1289869429002473473,RT @WatcherGuru: JUST IN: Apple $AAPL launches high-yield savings account offering 4.15% APY in partnership with Goldman Sachs.,2023-04-18T01:40:25.000Z,"{'retweet_count': 958, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1359147721265979395,RT @WatcherGuru: JUST IN: Apple $AAPL launches high-yield savings account offering 4.15% APY in partnership with Goldman Sachs.,2023-04-18T01:40:14.000Z,"{'retweet_count': 958, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
953042715532513281,"RT @Liathetrader: Remember, we all can be right on different time frames. Investor in $AAPL is right in LT, but day/ swing trader might beâ€¦",2023-04-18T01:40:10.000Z,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
953042715532513281,"RT @Liathetrader: Now you can laugh about me being short $AAPL 
GO AHEAD!",2023-04-18T01:40:04.000Z,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
953042715532513281,RT @SpecialSitsNews: $AAPL $70mn of insider sales since end of March... https://t.co/V0348Wb1jk,2023-04-18T01:40:02.000Z,"{'retweet_count': 61, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
11188472,RT @WatcherGuru: JUST IN: Apple $AAPL launches high-yield savings account offering 4.15% APY in partnership with Goldman Sachs.,2023-04-18T01:39:47.000Z,"{'retweet_count': 958, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
102880871,"What is a bank, if not a combination of a big balance sheet, a customer database, a team of salespeople plus some regulatory obligations?

$AAPL has the big B/S, is probablMUCH better at customer data analysis, sales people can be hired/trained, all it needs is reg signoffâ€¦ https://t.co/vB02ty5IU6",2023-04-18T01:38:33.000Z,"{'retweet_count': 1, 'reply_count': 2, 'like_count': 5, 'quote_count': 0, 'impression_count': 1089}"
360971215,RT @Jake__Wujastyk: $AAPL #AAPL Ascending triangle on the daily chart w/ the gap above at $171.31. https://t.co/rj7JG7eHPj,2023-04-18T01:37:36.000Z,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1425251060613013506,RT @Jake__Wujastyk: $AAPL #AAPL Ascending triangle on the daily chart w/ the gap above at $171.31. https://t.co/rj7JG7eHPj,2023-04-18T01:37:07.000Z,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
887754279125221378,$AAPL #AAPL Ascending triangle on the daily chart w/ the gap above at $171.31. https://t.co/rj7JG7eHPj,2023-04-18T01:37:00.000Z,"{'retweet_count': 6, 'reply_count': 4, 'like_count': 45, 'quote_count': 0, 'impression_count': 8118}"
1069428257571909638,RT @rbswingtrader: $AAPL matter of time and patience. Wounded bears are much more dangerous. https://t.co/jdF1VA4QuY,2023-04-18T01:36:26.000Z,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1292127992504815624,RT @BrandonButch: Apple Savings is now live! $AAPL https://t.co/rahVHER7qf,2023-04-18T01:36:10.000Z,"{'retweet_count': 56, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
2614054976,RT @WatcherGuru: JUST IN: Apple $AAPL launches high-yield savings account offering 4.15% APY in partnership with Goldman Sachs.,2023-04-18T01:33:55.000Z,"{'retweet_count': 958, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1588014433301069824,"$AAPL    Top analyst price target for next weekâžŸâžŸ&gt;ðŸš€
https://t.co/KtniMl2og4",2023-04-18T01:33:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1099697245471952896,RT @rbswingtrader: $AAPL matter of time and patience. Wounded bears are much more dangerous. https://t.co/jdF1VA4QuY,2023-04-18T01:33:50.000Z,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
163243204,"RT @unusual_whales: Apple's, $AAPL, personal computer shipments fell by 40.5% in the first quarter, per Bloomberg.",2023-04-18T01:33:44.000Z,"{'retweet_count': 90, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
2905560759,"Now that Apple is bank...

All you have to do in early 2023 is go all in on $AAPL.

Investing is so easy. https://t.co/Mqc92W92gf",2023-04-18T01:32:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'impression_count': 205}"
1302634220569767937,@BTCGandalf So @Apple collects deposits from hundreds of millions of users and then hands it over to @GoldmanSachs who uses it to by $AAPL stock?,2023-04-18T01:32:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 22}"
1641074631863070722,"RT @Mr_Derivatives: $AAPL to start offering their own high yield savings accounts at 4.15%.

Thats 415x higher than my current savings accoâ€¦",2023-04-18T01:32:25.000Z,"{'retweet_count': 26, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
461768237,Apple has four of the top five OLED smartphones for January-March https://t.co/0JoO4d0d89 $AAPL,2023-04-18T01:30:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 42}"
461768237,Get to the Top at Any Costs in the Platformer Don't Byte Your Tongue https://t.co/eGrh6CgNX0 $AAPL https://t.co/nmYu6aXHiH,2023-04-18T01:30:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 36}"
1239669392901890054,"RT @Jake__Wujastyk: $AAPL #AAPL Nearing a crucial resistance zone on the weekly chart. 

Details in the weekend video at 19:35 minutes:
httâ€¦",2023-04-18T01:30:07.000Z,"{'retweet_count': 13, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1504268622910435333,"RT @KobeissiLetter: JUST IN: Apple, $AAPL, launches savings account with a 4.15% interest rate.

This is the latest of many high yield saviâ€¦",2023-04-18T01:29:21.000Z,"{'retweet_count': 530, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
3441715755,"Some genius is gonna be the Jack Bogle of investing in 2030 and just explain how we all should own $AAPL stock, outperform all hedge funds, and get our fair share of America's golden goose. https://t.co/ONu6d6uhGg",2023-04-18T01:29:01.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 12, 'quote_count': 0, 'impression_count': 4273}"
1395230172413050881,RT @CheddarFlow: Buybacks have Inflated $AAPL's Earnings Per Share https://t.co/05ijfB3gUs,2023-04-18T02:31:10.000Z,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
